scheme,pivot,data_type,size,time,time_min,time_max,swaps,comparisons,memory_used
QuickSortHoare,median_of_three_random,random_data,25000,0.1345674196879069,0.1306848526000976,0.1372072696685791,142781,645726,3499860
QuickSortDoublePivot,double,random_data,25000,0.0852924187978108,0.0837640762329101,0.0866892337799072,153658,492774,2400216
QuickSortDijkstra,median_of_three_random,random_data,25000,0.053432544072469,0.0501606464385986,0.0574533939361572,235534,236858,140140
QuickSortLomuto,last,almost_sorted,100,0.000332752863566,0.000328779220581,0.0003364086151123,139,4865,7896
QuickSortLomuto,random,almost_sorted,100,0.000154177347819,0.0001473426818847,0.0001647472381591,215,1012,5768
QuickSortLomuto,median_of_three,almost_sorted,100,0.0001154740651448,0.0001122951507568,0.000119924545288,260,1028,4536
QuickSortLomuto,median_of_three_random,almost_sorted,100,0.0002071857452392,0.0002033710479736,0.0002131462097167,221,995,4816
QuickSortHoare,last,almost_sorted,100,0.000321626663208,0.0003199577331542,0.0003235340118408,195,3579,13860
QuickSortHoare,random,almost_sorted,100,0.0002276102701822,0.0002241134643554,0.0002305507659912,174,1159,13860
QuickSortHoare,median_of_three,almost_sorted,100,0.0002028147379557,0.0001981258392333,0.000206708908081,193,1322,13860
QuickSortHoare,median_of_three_random,almost_sorted,100,0.0003576278686523,0.0003395080566406,0.000370979309082,301,1383,13860
QuickSortDoublePivot,double,almost_sorted,100,0.0002180735270182,0.0001888275146484,0.000251293182373,293,1404,8820
QuickSortDijkstra,median_of_three_random,almost_sorted,100,0.0002541542053222,0.0002491474151611,0.0002574920654296,702,702,8026
QuickSortLomuto,last,almost_sorted,500,0.0017387072245279,0.0016734600067138,0.0017943382263183,1280,21553,33180
QuickSortLomuto,random,almost_sorted,500,0.0010108947753906,0.0009939670562744,0.001021385192871,1631,7406,27888
QuickSortLomuto,median_of_three,almost_sorted,500,0.0010061264038085,0.0009963512420654,0.0010137557983398,1929,10507,23436
QuickSortLomuto,median_of_three_random,almost_sorted,500,0.0016396840413411,0.0012474060058593,0.002364158630371,1815,7145,24276
QuickSortHoare,last,almost_sorted,500,0.0032209555308024,0.0025887489318847,0.0044848918914794,1007,31375,69860
QuickSortHoare,random,almost_sorted,500,0.0012755393981933,0.0012538433074951,0.0013000965118408,914,7609,69860
QuickSortHoare,median_of_three,almost_sorted,500,0.0013243357340494,0.0011274814605712,0.0017116069793701,964,8069,69860
QuickSortHoare,median_of_three_random,almost_sorted,500,0.0019413630167643,0.0018355846405029,0.0021476745605468,1514,8038,69860
QuickSortDoublePivot,double,almost_sorted,500,0.0030666987101236,0.0026342868804931,0.0039129257202148,8703,18665,43904
QuickSortDijkstra,median_of_three_random,almost_sorted,500,0.0015249252319335,0.0015006065368652,0.0015633106231689,4798,4833,39900
QuickSortLomuto,last,almost_sorted,1000,0.0032328764597574,0.0029802322387695,0.0036587715148925,3063,33168,68796
QuickSortLomuto,random,almost_sorted,1000,0.0022828578948974,0.002204418182373,0.0023994445800781,4301,17468,56028
QuickSortLomuto,median_of_three,almost_sorted,1000,0.0020814736684163,0.0018956661224365,0.0024507045745849,3920,17969,48972
QuickSortLomuto,median_of_three_random,almost_sorted,1000,0.002793550491333,0.0026729106903076,0.0030007362365722,3903,15365,48384
QuickSortHoare,last,almost_sorted,1000,0.0066649913787841,0.0064494609832763,0.0069043636322021,2040,78392,139860
QuickSortHoare,random,almost_sorted,1000,0.0030239423116048,0.0027613639831542,0.0032150745391845,1843,16830,139860
QuickSortHoare,median_of_three,almost_sorted,1000,0.0023512840270996,0.002338171005249,0.0023684501647949,1963,17340,139860
QuickSortHoare,median_of_three_random,almost_sorted,1000,0.0047694047292073,0.0042736530303955,0.0051882266998291,3033,17128,139860
QuickSortDoublePivot,double,almost_sorted,1000,0.004792054494222,0.003554344177246,0.0059294700622558,9413,26823,86240
QuickSortDijkstra,median_of_three_random,almost_sorted,1000,0.0033111572265625,0.0031869411468505,0.003472089767456,10503,10595,80266
QuickSortLomuto,last,almost_sorted,5000,0.027796188990275,0.0265161991119384,0.0292119979858398,24478,297719,355320
QuickSortLomuto,random,almost_sorted,5000,0.0141850312550862,0.0139017105102539,0.0146844387054443,27426,107618,279580
QuickSortLomuto,median_of_three,almost_sorted,5000,0.0123860041300455,0.0119967460632324,0.0127696990966796,26136,110301,236796
QuickSortLomuto,median_of_three_random,almost_sorted,5000,0.0202578703562418,0.0188415050506591,0.0217947959899902,28543,99858,239708
QuickSortHoare,last,almost_sorted,5000,0.0397822062174479,0.0370857715606689,0.0425097942352294,10484,401731,699860
QuickSortHoare,random,almost_sorted,5000,0.0191996097564697,0.0181677341461181,0.0204255580902099,9463,101190,699860
QuickSortHoare,median_of_three,almost_sorted,5000,0.0145651499430338,0.0142285823822021,0.0150713920593261,9919,101652,699860
QuickSortHoare,median_of_three_random,almost_sorted,5000,0.0231217543284098,0.0230755805969238,0.0231850147247314,15486,101529,699860
QuickSortDoublePivot,double,almost_sorted,5000,0.0309241612752278,0.0306782722473144,0.0311067104339599,85407,205071,424732
QuickSortDijkstra,median_of_three_random,almost_sorted,5000,0.0216579437255859,0.0200495719909667,0.0233936309814453,66440,66791,399560
QuickSortLomuto,last,almost_sorted,10000,0.0831623872121175,0.0814900398254394,0.084864854812622,40914,962512,694428
QuickSortLomuto,random,almost_sorted,10000,0.031660238901774,0.0310649871826171,0.0326278209686279,64127,240419,560028
QuickSortLomuto,median_of_three,almost_sorted,10000,0.0305796464284261,0.0286574363708496,0.0337424278259277,53890,284346,480396
QuickSortLomuto,median_of_three_random,almost_sorted,10000,0.0405603249867757,0.0380771160125732,0.0453932285308837,65079,220916,480368
QuickSortHoare,last,almost_sorted,10000,0.0920824209849039,0.0889620780944824,0.0941324234008789,21120,910526,1399860
QuickSortHoare,random,almost_sorted,10000,0.038514773050944,0.0365712642669677,0.0404236316680908,19120,215309,1399860
QuickSortHoare,median_of_three,almost_sorted,10000,0.0357801914215087,0.0319075584411621,0.0398235321044921,20137,211374,1399860
QuickSortHoare,median_of_three_random,almost_sorted,10000,0.0498428344726562,0.0479829311370849,0.0519888401031494,31253,217111,1399860
QuickSortDoublePivot,double,almost_sorted,10000,0.0710996786753336,0.0709097385406494,0.0713007450103759,197521,464707,851816
QuickSortDijkstra,median_of_three_random,almost_sorted,10000,0.046558141708374,0.044715404510498,0.0475058555603027,145120,145809,800520
QuickSortLomuto,last,almost_sorted,25000,0.3216265837351481,0.3101921081542969,0.3393979072570801,168177,3442005,1679160
QuickSortLomuto,random,almost_sorted,25000,0.1012229919433593,0.0961177349090576,0.1067574024200439,193649,686395,1399804
QuickSortLomuto,median_of_three,almost_sorted,25000,0.1081287066141764,0.1051864624023437,0.1108088493347168,167221,932698,1195068
QuickSortLomuto,median_of_three_random,almost_sorted,25000,0.1068963209788004,0.1035282611846923,0.1091320514678955,179600,599293,1201844
QuickSortHoare,last,almost_sorted,25000,0.3130586147308349,0.3027462959289551,0.3222119808197021,53640,3273280,3499860
QuickSortHoare,random,almost_sorted,25000,0.1009696324666341,0.0987429618835449,0.1027858257293701,48537,582351,3499860
QuickSortHoare,median_of_three,almost_sorted,25000,0.0826686223347981,0.0820748805999755,0.0834519863128662,51293,560636,3499860
QuickSortHoare,median_of_three_random,almost_sorted,25000,0.1425578594207763,0.1242399215698242,0.1743021011352539,78858,586479,3499860
